Gene_ID	Healthy_012	Healthy_011	Healthy_015	Healthy_013	AcneInversa_ROS11E	AcneInversa_ROS8C1	AcneInversa_ROS4D1
Group	Healthy	Healthy	Healthy	Healthy	Acne_Inversa	Acne_Inversa	Acne_Inversa
ENSG00000185479	8.20268	7.59917	8.05741	7.55365	7.93121	9.20039	2.78913
ENSG00000170465	4.96545	3.61926	5.08909	4.11618	6.63339	8.82503	2.11148
ENSG00000205420	8.50107	7.89257	8.40173	7.50849	9.45103	10.2656	3.97893
ENSG00000186081	10.9932	10.8717	11.3554	10.8717	10.0018	10.4485	5.20071
ENSG00000139648	8.17312	7.22001	7.57557	7.54334	7.30029	6.04231	2.0309
ENSG00000170484	7.10288	6.05377	6.34475	6.37076	5.94582	4.78196	0.297063
ENSG00000170486	4.80405	3.97653	4.64228	4.8934	3.9419	3.05311	1.6146
ENSG00000257495	1.7588	2.62683	3.02788	4.27355	2.37246	0.941668	0.396084
ENSG00000186049	4.71527	4.34672	5.15231	5.21906	3.80194	3.31449	2.0309
ENSG00000258120	2.0796	2.54916	3.12896	4.37775	0.982765	0.198042	0.709973
ENSG00000172867	8.75608	8.74967	9.81886	9.73888	6.57231	7.32358	2.11148
ENSG00000167768	11.7246	11.7246	11.4946	11.4946	9.924	9.924	5.10813
ENSG00000189182	8.62493	8.27703	8.76693	8.62763	6.29932	5.28724	1.6146
ENSG00000257700	3.86898	3.5095	4.00259	3.86898	2.11148	0.941668	0.297063
ENSG00000185069	1.28727	1.58855	1.96134	0	0.594126	1.28727	0.297063
ENSG00000186442	2.18708	2.79686	2.6985	2.38489	1.44666	1.80285	0.297063
ENSG00000170477	4.31933	2.31012	3.35148	2.95052	2.58731	0.594126	0.297063
ENSG00000185640	7.99724	7.04171	6.96631	6.41623	6.58178	4.36155	2.8274
ENSG00000170423	6.71331	7.17321	7.05106	7.3175	5.91018	6.40516	1.66669
ENSG00000170421	6.80638	7.39133	6.76373	6.60728	4.05343	3.64667	3.404
ENSG00000111057	6.49691	7.11285	6.29292	6.32164	3.89526	3.47032	2.77364
ENSG00000063046	7.61082	7.41591	7.47859	7.52177	7.64464	7.43604	7.36046
ENSG00000257475	3.15733	3.07114	3.11796	2.99689	2.95717	2.60639	2.56824
ENSG00000257337	5.14094	5.02465	4.82476	5.02566	4.54455	4.50522	4.01897
ENSG00000111077	7.34864	7.33676	7.42159	7.13697	7.27394	7.44649	6.89806
ENSG00000278108	0.941668	0.825821	0.198042	1.24618	0.941668	0.594126	1.28727
ENSG00000167778	6.31936	6.37419	6.41092	6.21855	6.08722	6.36959	6.26941
